日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-21,'600722,金牛化工,7.39,7.71,7.24,7.71,7.86,-0.47,-5.9796,3.1035,21113764,156464116.0,5027562405.64,5027562405.64
2017-12-20,'600722,金牛化工,7.86,8.14,7.8,8.1,8.06,-0.2,-2.4814,2.2783,15499700,124056945.0,5347312653.36,5347312653.36
2017-12-19,'600722,金牛化工,8.06,8.16,7.92,7.95,8.03,0.03,0.3736,2.8536,19413556,156113929.0,5483376588.56,5483376588.56
2017-12-18,'600722,金牛化工,8.03,8.15,7.72,7.77,7.86,0.17,2.1628,2.8775,19576327,155395604.0,5462966998.28,5462966998.28
2017-12-15,'600722,金牛化工,7.86,7.93,7.56,7.79,7.75,0.11,1.4194,2.564,17443363,135587915.0,5347312653.36,5347312653.36
2017-12-14,'600722,金牛化工,7.75,8.04,7.72,7.86,7.93,-0.18,-2.2699,2.4069,16374873,128339971.0,5272477489.0,5272477489.0
2017-12-13,'600722,金牛化工,7.93,8.18,7.55,7.77,7.81,0.12,1.5365,3.2057,21809223,171499515.0,5394935030.68,5394935030.68
2017-12-12,'600722,金牛化工,7.81,8.0,7.68,7.99,7.98,-0.17,-2.1303,2.1628,14713933,115196409.0,5313296669.56,5313296669.56
2017-12-11,'600722,金牛化工,7.98,8.04,7.8,7.88,8.04,-0.06,-0.7463,2.3146,15746922,124797135.0,5428951014.48,5428951014.48
2017-12-08,'600722,金牛化工,8.04,8.08,7.74,7.92,8.03,0.01,0.1245,3.2519,22123296,175066010.0,5469770195.04,5469770195.04
2017-12-07,'600722,金牛化工,8.03,8.28,8.01,8.2,8.33,-0.3,-3.6014,3.4397,23400893,189708811.0,5462966998.28,5462966998.28
2017-12-06,'600722,金牛化工,8.33,8.35,7.9,8.08,8.17,0.16,1.9584,4.8134,32746244,265984677.0,5667062901.08,5667062901.08
2017-12-05,'600722,金牛化工,8.17,8.59,7.95,8.1,7.91,0.26,3.287,6.9333,47168457,387542618.0,5558211752.92,5558211752.92
2017-12-04,'600722,金牛化工,7.91,7.91,7.15,7.19,7.19,0.72,10.0139,2.7696,18842185,141750022.0,5381328637.16,5381328637.16
2017-12-01,'600722,金牛化工,7.19,7.24,6.97,7.01,7.2,-0.01,-0.1389,1.8855,12827476,91376071.0,4891498470.44,4891498470.44
2017-11-30,'600722,金牛化工,7.2,7.46,7.13,7.2,6.98,0.22,3.1519,3.7859,25756414,186969193.0,4898301667.2,4898301667.2
2017-11-29,'600722,金牛化工,6.98,7.24,6.57,6.79,6.81,0.17,2.4963,2.6214,17833716,122999321.0,4748631338.48,4748631338.48
2017-11-28,'600722,金牛化工,6.81,6.82,6.67,6.71,6.71,0.1,1.4903,0.9394,6390688,43132417.0,4632976993.56,4632976993.56
2017-11-27,'600722,金牛化工,6.71,6.86,6.64,6.73,6.69,0.02,0.299,1.1949,8128859,55015463.0,4564945025.96,4564945025.96
2017-11-24,'600722,金牛化工,6.69,6.78,6.62,6.75,6.75,-0.06,-0.8889,0.6554,4458928,29955727.0,4551338632.44,4551338632.44
2017-11-23,'600722,金牛化工,6.75,6.95,6.58,6.9,6.98,-0.23,-3.2951,1.1711,7967100,54392868.0,4592157813.0,4592157813.0
2017-11-22,'600722,金牛化工,6.98,7.03,6.75,6.93,6.88,0.1,1.4535,1.9764,13445685,92409731.0,4748631338.48,4748631338.48
2017-11-21,'600722,金牛化工,6.88,7.08,6.87,7.05,7.05,-0.17,-2.4113,1.4259,9700480,67371659.0,4680599370.88,4680599370.88
2017-11-20,'600722,金牛化工,7.05,7.3,6.86,7.23,7.36,-0.31,-4.212,1.4561,9906226,69512208.0,4796253715.8,4796253715.8
2017-11-17,'600722,金牛化工,7.36,8.1,7.27,8.1,8.05,-0.69,-8.5714,2.2625,15392514,116446307.0,5007152815.36,5007152815.36
2017-11-16,'600722,金牛化工,8.05,8.25,8.02,8.22,8.24,-0.19,-2.3058,0.7895,5371400,43495920.0,5476573391.8,5476573391.8
2017-11-15,'600722,金牛化工,8.24,8.52,8.21,8.43,8.43,-0.19,-2.2539,0.8776,5970772,49526311.0,5605834130.24,5605834130.24
2017-11-14,'600722,金牛化工,8.43,8.62,8.39,8.43,8.44,-0.01,-0.1185,1.1091,7545699,64121415.0,5735094868.68,5735094868.68
2017-11-13,'600722,金牛化工,8.44,8.44,8.25,8.27,8.27,0.17,2.0556,1.0983,7471831,62635931.0,5741898065.44,5741898065.44
