»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-15,'603319,œÊ”Õ±√,29.18,29.55,29.02,29.55,29.45,-0.27,-0.9168,0.6316,358000,10472239.0,2361245600.0,1653930687.12
2017-12-14,'603319,œÊ”Õ±√,29.45,29.92,29.21,29.6,29.53,-0.08,-0.2709,0.7069,400700,11788737.0,2383094000.0,1669234363.8
2017-12-13,'603319,œÊ”Õ±√,29.53,29.68,28.65,28.65,28.86,0.67,2.3216,0.8308,470900,13738357.0,2389567600.0,1673768786.52
2017-12-12,'603319,œÊ”Õ±√,28.86,30.04,28.83,30.04,29.97,-1.11,-3.7037,1.2841,727850,21318193.0,2335351200.0,1635792996.24
2017-12-11,'603319,œÊ”Õ±√,29.97,30.26,29.6,29.7,29.6,0.37,1.25,1.4965,848217,25505771.0,2425172400.0,1698708111.48
2017-12-08,'603319,œÊ”Õ±√,29.6,29.88,28.73,28.73,28.87,0.73,2.5286,1.497,848500,25017026.0,2395232000.0,1677736406.4
2017-12-07,'603319,œÊ”Õ±√,28.87,29.0,28.2,28.39,28.5,0.37,1.2982,1.3513,765900,22051738.0,2336160400.0,1636359799.08
2017-12-06,'603319,œÊ”Õ±√,28.5,28.58,27.81,28.15,28.15,0.35,1.2433,1.4649,830300,23465705.0,2306220000.0,1615388094.0
2017-12-05,'603319,œÊ”Õ±√,28.15,29.29,27.8,28.99,29.09,-0.94,-3.2314,2.4395,1382700,39369904.0,2277898000.0,1595549994.6
2017-12-04,'603319,œÊ”Õ±√,29.09,31.0,28.98,30.45,30.61,-1.52,-4.9657,2.3538,1334144,40057231.0,2353962800.0,1648829461.56
2017-12-01,'603319,œÊ”Õ±√,30.61,30.84,30.12,30.12,30.81,-0.2,-0.6491,1.7808,1009344,30806829.0,2476961200.0,1734983493.24
2017-11-30,'603319,œÊ”Õ±√,30.81,31.88,29.46,29.6,29.74,1.07,3.5978,4.143,2348256,71913521.0,2493145200.0,1746319550.04
2017-11-29,'603319,œÊ”Õ±√,29.74,30.2,29.2,29.2,29.18,0.56,1.9191,5.3129,1074799,31993619.0,2406560800.0,601640200.0
2017-11-28,'603319,œÊ”Õ±√,29.18,29.29,28.88,28.94,28.85,0.33,1.1438,3.3638,680500,19825583.0,2361245600.0,590311400.0
2017-11-27,'603319,œÊ”Õ±√,28.85,29.63,28.51,29.63,29.55,-0.7,-2.3689,3.5591,719999,20946745.0,2334542000.0,583635500.0
2017-11-24,'603319,œÊ”Õ±√,29.55,30.24,29.45,29.71,30.15,-0.6,-1.99,4.8469,980523,29225325.0,2391186000.0,597796500.0
2017-11-23,'603319,œÊ”Õ±√,30.15,31.95,30.11,31.7,31.81,-1.66,-5.2185,6.1013,1234300,38066872.0,2439738000.0,609934500.0
2017-11-22,'603319,œÊ”Õ±√,31.81,32.27,31.66,31.9,31.97,-0.16,-0.5005,3.8379,776400,24780966.0,2574065200.0,643516300.0
2017-11-21,'603319,œÊ”Õ±√,31.97,32.69,31.53,32.51,32.81,-0.84,-2.5602,5.7233,1157823,37213271.0,2587012400.0,646753100.0
2017-11-20,'603319,œÊ”Õ±√,32.81,33.35,31.66,32.38,33.17,-0.36,-1.0853,7.5246,1522234,49008658.0,2654985200.0,663746300.0
2017-11-17,'603319,œÊ”Õ±√,33.17,36.66,33.17,36.54,36.86,-3.69,-10.0109,14.8603,3006248,103051889.0,2684116400.0,671029100.0
2017-11-16,'603319,œÊ”Õ±√,36.86,38.3,36.58,38.3,38.38,-1.52,-3.9604,8.1815,1655117,61879620.0,2982711200.0,745677800.0
2017-11-15,'603319,œÊ”Õ±√,38.38,39.42,38.1,39.06,39.47,-1.09,-2.7616,6.6391,1343100,51820341.0,3105709600.0,776427400.0
2017-11-14,'603319,œÊ”Õ±√,39.47,39.84,38.57,38.6,38.62,0.85,2.2009,11.8951,2406382,94785972.0,3193912400.0,798478100.0
2017-11-13,'603319,œÊ”Õ±√,38.62,38.79,37.99,38.0,38.16,0.46,1.2055,6.6662,1348563,51756411.0,3125130400.0,781282600.0
2017-11-10,'603319,œÊ”Õ±√,38.16,38.89,38.13,38.58,38.84,-0.68,-1.7508,9.2897,1879300,72383241.0,3087907200.0,771976800.0
2017-11-09,'603319,œÊ”Õ±√,38.84,39.27,37.79,38.71,38.7,0.14,0.3618,14.0032,2832838,109052491.0,3142932800.0,785733200.0
2017-11-08,'603319,œÊ”Õ±√,38.7,39.55,38.65,39.08,39.09,-0.39,-0.9977,15.5371,3143163,122792876.0,3131604000.0,782901000.0
