ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2017-12-15,'603798,¿µÆÕ¶Ù,19.01,19.32,18.88,19.32,19.34,-0.33,-1.7063,2.5771,2200825,41961938.0,3802000000.0,1623454000.0
2017-12-14,'603798,¿µÆÕ¶Ù,19.34,19.38,18.21,18.46,18.45,0.89,4.8238,3.548,3029994,57174167.0,3868000000.0,1651636000.0
2017-12-13,'603798,¿µÆÕ¶Ù,18.45,18.47,17.04,17.15,17.14,1.31,7.6429,2.8441,2428848,43592899.0,3690000000.0,1575630000.0
2017-12-12,'603798,¿µÆÕ¶Ù,17.14,17.25,17.01,17.01,17.15,-0.01,-0.0583,0.9785,835680,14279641.0,3428000000.0,1463756000.0
2017-12-11,'603798,¿µÆÕ¶Ù,17.15,17.34,16.76,16.85,16.83,0.32,1.9014,0.9666,825510,14102470.0,3430000000.0,1464610000.0
2017-12-08,'603798,¿µÆÕ¶Ù,16.83,16.88,16.6,16.71,16.71,0.12,0.7181,0.8066,688850,11562790.0,3366000000.0,1437282000.0
2017-12-07,'603798,¿µÆÕ¶Ù,16.71,16.91,16.6,16.91,16.87,-0.16,-0.9484,0.4652,397276,6654932.0,3342000000.0,1427034000.0
2017-12-06,'603798,¿µÆÕ¶Ù,16.87,16.95,16.31,16.4,16.52,0.35,2.1186,0.7162,611600,10177428.0,3374000000.0,1440698000.0
2017-12-05,'603798,¿µÆÕ¶Ù,16.52,17.31,16.48,17.09,17.3,-0.78,-4.5087,1.0356,884425,14864005.0,3304000000.0,1410808000.0
2017-12-04,'603798,¿µÆÕ¶Ù,17.3,18.04,17.2,17.81,18.04,-0.74,-4.102,1.185,1012004,17658595.0,3460000000.0,1477420000.0
2017-12-01,'603798,¿µÆÕ¶Ù,18.04,18.53,17.2,17.37,17.25,0.79,4.5797,1.7582,1501537,27013442.0,3608000000.0,1540616000.0
2017-11-30,'603798,¿µÆÕ¶Ù,17.25,17.37,17.11,17.15,17.23,0.02,0.1161,0.5702,486942,8401589.0,3450000000.0,1473150000.0
2017-11-29,'603798,¿µÆÕ¶Ù,17.23,17.59,17.1,17.59,17.43,-0.2,-1.1474,0.7259,619900,10681412.0,3446000000.0,1471442000.0
2017-11-28,'603798,¿µÆÕ¶Ù,17.43,17.48,17.13,17.19,17.19,0.24,1.3962,0.5607,478800,8303665.0,3486000000.0,1488522000.0
2017-11-27,'603798,¿µÆÕ¶Ù,17.19,17.5,17.04,17.38,17.48,-0.29,-1.659,0.6018,513900,8869925.0,3438000000.0,1468026000.0
2017-11-24,'603798,¿µÆÕ¶Ù,17.48,17.74,17.29,17.32,17.4,0.08,0.4598,0.63,538000,9412310.0,3496000000.0,1492792000.0
2017-11-23,'603798,¿µÆÕ¶Ù,17.4,17.98,17.38,17.9,17.88,-0.48,-2.6846,0.6822,582600,10314167.0,3480000000.0,1485960000.0
2017-11-22,'603798,¿µÆÕ¶Ù,17.88,18.15,17.61,18.14,18.09,-0.21,-1.1609,0.8506,726400,13031207.0,3576000000.0,1526952000.0
2017-11-21,'603798,¿µÆÕ¶Ù,18.09,18.45,17.72,18.0,18.03,0.06,0.3328,0.777,663600,12018403.0,3618000000.0,1544886000.0
