ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2017-12-15,'000599,ÇàµºË«ÐÇ,6.15,6.2,6.04,6.04,6.08,0.07,1.1513,1.0059,6317202,38877936.98,4148660191.95,3862137731.25
2017-12-14,'000599,ÇàµºË«ÐÇ,6.08,6.11,6.0,6.04,6.04,0.04,0.6623,0.681,4276601,25916339.02,4101439669.44,3818178440.0
2017-12-13,'000599,ÇàµºË«ÐÇ,6.04,6.06,5.93,6.03,6.02,0.02,0.3322,0.9519,5977643,35934301.56,4074456513.72,3793058845.0
2017-12-12,'000599,ÇàµºË«ÐÇ,6.02,6.06,5.98,6.01,5.99,0.03,0.5008,0.7793,4893612,29424760.11,4060964935.86,3780499047.5
2017-12-11,'000599,ÇàµºË«ÐÇ,5.99,6.05,5.86,5.86,5.88,0.11,1.8707,0.9015,5661043,33931039.8,4040727569.07,3761659351.25
2017-12-08,'000599,ÇàµºË«ÐÇ,5.88,5.92,5.73,5.77,5.78,0.1,1.7301,0.7767,4877793,28659930.47,3966523890.84,3692580465.0
2017-12-07,'000599,ÇàµºË«ÐÇ,5.78,5.83,5.65,5.68,5.69,0.09,1.5817,0.7428,4664602,26877573.36,3899066001.54,3629781477.5
2017-12-06,'000599,ÇàµºË«ÐÇ,5.69,5.7,5.59,5.63,5.64,0.05,0.8865,0.7851,4930569,27803935.15,3838353901.17,3573262388.75
2017-12-05,'000599,ÇàµºË«ÐÇ,5.64,5.78,5.54,5.77,5.77,-0.13,-2.253,0.989,6210628,34996367.66,3804624956.52,3541862895.0
2017-12-04,'000599,ÇàµºË«ÐÇ,5.77,5.87,5.76,5.87,5.86,-0.09,-1.5358,0.5722,3593500,20885595.99,3892320212.61,3623501578.75
2017-12-01,'000599,ÇàµºË«ÐÇ,5.86,5.88,5.83,5.85,5.85,0.01,0.1709,0.3022,1897571,11121803.6,3953032312.98,3680020667.5
2017-11-30,'000599,ÇàµºË«ÐÇ,5.85,5.88,5.82,5.88,5.88,-0.03,-0.5102,0.3304,2074901,12133343.84,3946286524.05,3673740768.75
2017-11-29,'000599,ÇàµºË«ÐÇ,5.88,5.9,5.82,5.87,5.9,-0.02,-0.339,0.4324,2715447,15897607.32,3966523890.84,3692580465.0
2017-11-28,'000599,ÇàµºË«ÐÇ,5.9,5.91,5.77,5.77,5.79,0.11,1.8998,0.5785,3632889,21322518.93,3980015468.7,3705140262.5
2017-11-27,'000599,ÇàµºË«ÐÇ,5.79,5.86,5.78,5.86,5.84,-0.05,-0.8562,0.3903,2451101,14238948.79,3905811790.47,3636061376.25
2017-11-24,'000599,ÇàµºË«ÐÇ,5.84,5.91,5.82,5.82,5.86,-0.02,-0.3413,0.4693,2947052,17253918.67,3939540735.12,3667460870.0
2017-11-23,'000599,ÇàµºË«ÐÇ,5.86,6.01,5.85,6.0,5.98,-0.12,-2.0067,0.6449,4050202,24050842.0,3953032312.98,3680020667.5
2017-11-22,'000599,ÇàµºË«ÐÇ,5.98,6.03,5.96,6.0,5.97,0.01,0.1675,0.4411,2769962,16597490.74,4033981780.14,3755379452.5
2017-11-21,'000599,ÇàµºË«ÐÇ,5.97,6.03,5.95,5.98,6.02,-0.05,-0.8306,0.5955,3739800,22363284.0,4027235991.21,3749099553.75
2017-11-20,'000599,ÇàµºË«ÐÇ,6.02,6.09,5.88,6.04,6.03,-0.01,-0.1658,0.66,4144953,24807422.35,4060964935.86,3780499047.5
2017-11-17,'000599,ÇàµºË«ÐÇ,6.03,6.22,6.03,6.21,6.24,-0.21,-3.3654,0.9568,6008857,36733773.63,4067710724.79,3786778946.25
2017-11-16,'000599,ÇàµºË«ÐÇ,6.24,6.3,6.06,6.07,6.07,0.17,2.8007,1.7399,10926494,68091162.72,4209372292.32,3918656820.0
2017-11-15,'000599,ÇàµºË«ÐÇ,6.07,6.12,6.07,6.09,6.12,-0.05,-0.817,0.4445,2791700,17001317.0,4094693880.51,3811898541.25
2017-11-14,'000599,ÇàµºË«ÐÇ,6.12,6.18,6.08,6.17,6.16,-0.04,-0.6494,0.6145,3858920,23576205.6,4128422825.16,3843298035.0
2017-11-13,'000599,ÇàµºË«ÐÇ,6.16,6.22,6.15,6.17,6.17,-0.01,-0.1621,0.4683,2940901,18176828.16,4155405980.88,3868417630.0
2017-11-10,'000599,ÇàµºË«ÐÇ,6.17,6.22,6.14,6.21,6.21,-0.04,-0.6441,0.4706,2955400,18233972.0,4162151769.81,3874697528.75
2017-11-09,'000599,ÇàµºË«ÐÇ,6.21,6.22,6.16,6.19,6.21,0.0,0.0,0.5616,3526820,21822122.1,4189134925.53,3899817123.75
2017-11-08,'000599,ÇàµºË«ÐÇ,6.21,6.25,6.18,6.21,6.25,-0.04,-0.64,0.4843,3041607,18914324.95,4189134925.53,3899817123.75
2017-11-07,'000599,ÇàµºË«ÐÇ,6.25,6.28,6.17,6.19,6.16,0.09,1.461,0.8729,5481900,34170916.94,4216118081.25,3924936718.75
2017-11-06,'000599,ÇàµºË«ÐÇ,6.16,6.16,6.05,6.06,6.06,0.1,1.6502,0.5086,3193832,19476524.98,4155405980.88,3868417630.0
2017-11-03,'000599,ÇàµºË«ÐÇ,6.06,6.15,6.03,6.15,6.14,-0.08,-1.3029,0.6083,3820002,23271130.16,4087948091.58,3805618642.5
2017-11-02,'000599,ÇàµºË«ÐÇ,6.14,6.23,6.1,6.2,6.22,-0.08,-1.2862,0.7285,4575201,28122494.12,4141914403.02,3855857832.5
2017-11-01,'000599,ÇàµºË«ÐÇ,6.22,6.25,6.2,6.23,6.22,0.0,0.0,0.5672,3562067,22179343.74,4195880714.46,3906097022.5
2017-10-31,'000599,ÇàµºË«ÐÇ,6.22,6.24,6.18,6.2,6.21,0.01,0.161,0.7519,4721642,29306081.38,4195880714.46,3906097022.5
2017-10-30,'000599,ÇàµºË«ÐÇ,6.21,6.39,6.16,6.36,6.39,-0.18,-2.8169,1.1594,7280671,45367102.78,4189134925.53,3899817123.75
